package,version,released,index,text
survival,3.1-12,2020-04-10,6,Minor updates to plot.survfit and survcheck.
survival,3.1-12,2020-04-10,7,"Add cluster= option to replace +cluster() in a formula. Remove all mention of the latter from documentation and examples. Make the cluster, id, and robust options consistent across all the functions."
survival,3.1-12,2020-04-10,8,Fix bug in plot.survfit with xaxs='S'. At some point one line of code got lost.
survival,3.1-11,2020-03-07,1,"Add 'n' vector to survcheck, update tests."
survival,3.1-11,2020-03-07,2,Improve multistate coxph printout
survival,3.1-11,2020-03-07,3,Fix a memory reference error in multicheck.c
survival,3.1-10,,1,"Fix error in concordance(fit, newdata= xxx): it used the old data at one point. Pointed out by Matjin van't Hooft."
survival,3.1-10,,2,"Minor update to tmerge -- print a warning when a user attempts to update a variable using tdc, namely that this results in complete replacement of said variable, with no retention of prior values."
survival,3.1-10,,3,"Minor fixes to plot.survfit, when both xlim and xaxs='S' are specified. Error and suggested fixes from Heinz Tuechler."
survival,3.1-10,,4,"Two failures in makepredictcall.pspline, found by 2 different users, both cases of options that should have been carried forward. A subsequent termplot() call failed if pspline had 'nterm' or 'combine'."
survival,3.1-10,,5,Fix memory leak (forgotten PROTECT) in zph[12].c; caught by B Ripley
survival,3.1-9,,1,"The plot.cox.zph function would fail for a stratified model, if some covariate was a constant in one of the strata. The cox.zph routine correctly labeled those points as uninformative via NA, the plot routine needed to actually ignore them."
survival,3.1-8,2019-12-03,1,"For a multistate model with no covariates, the start.time value (if present) was inadvertently omitted from the result. This affects the default plot."
survival,3.1-8,2019-12-03,2,"Per user request, the tmerge function can now use Dates as the time variable for the merge."
survival,3.1-8,2019-12-03,3,Fix an invalid read (one element past the end of a vector) that could occur in tmerge.c; reported by Brian Ripley.
survival,3.1-8,2019-12-03,4,"A multi-state coxph model with strata would fail when parsing the formula, pointed out by Martin van't Hooft."
survival,3.1-7,2019-11-09,1,"For a coxph model with covariate*strata interactions the information matrix will be block diagonal, and the cox.zph function would generate a 0/0 when scaling it for plots. This led to a BLAS error on some architectures (reported by B. Ripley within 24 hours of 3.1-6 being published on CRAN). Tests were unaffected, subsequent plots fail due to an infinite axis. Repair, and add more checks to the test suite."
survival,3.1-6,2019-11-06,1,Repair issues in coxph.getdata and lines.survfit that were found with reverse dependency checks
survival,3.1-6,2019-11-06,2,Submit to CRAN
survival,3.1-5,,1,Update coxph.getdata and coxph.detail to work with coxphms objects. A deficiency in the first affected cox.zph results for multi-state coxph fits.
survival,3.1-5,,2,Add a formal test suite for the cox.zph routine.
survival,3.1-4,,1,"Move some vignettes to the vignette2 directory, found on the github website. Add an index to those files."
survival,3.1-4,,2,"Add the timefix option to coxph results, and ensure that downstream survfit calls correctly retain it."
survival,3.1-4,,3,Expand the main survival vignette.
survival,3.1-3,,1,"The results of anova.coxph were incorrect for the case of a single model with ties=""breslow"" and tied event times: the breslow option was not being passed forward to the secondary fits."
survival,3.1-3,,2,"Add more sanity checks to anova.coxph, e.g., all models must have used the same ties option."
survival,3.1-3,,3,Update tmerge to allow more variable types as the argument to tdc. A user pointed out that Dates were not preserved; now fixed.
survival,3.1-2,,1,"The cox.zph command now refuses models with tt() terms, before it had an incorrect computation."
survival,3.1-2,,2,"Fix 2 errors in plot, for survfit of a coxph model. (I had not scanned the pdf pages from the vignettes, which is the only way to verify plots.)"
survival,3.1-2,,3,"Fix labeling error for combination of pyears, tcut variable, data.frame option. (The numerical values were correct)."
survival,3.1-1,,1,"Fix error in [.cox.zph, when applied to a stratified model"
survival,3.1-0,,1,Respond to some CRAN queries and resubmit.
survival,3.1-0,,2,Better documentation of the survfit0 routine
survival,3.1-0,,3,Add the sas.Rnw vignette to inst/doc: it takes too long to run for inclusion in the vignettes directory
survival,3.1-0,,4,"Fix two edge case errors pointed out on github: coxph on a data set with 0 events, and models with only a frailty term"
survival,3.1-0,,5,"Update residuals.coxph to deal with larger matrices, i.e., change two .C calls to .Call"
survival,3.0-11,,1,"Multiple small updates, after running tests for all reverse dependencies"
